,review_id,user_id,business_id,stars,useful,funny,cool,text,date
641,9kB_3ZwSjvz22matz8L1hw,MyLGJPkC8q5sKTNImKBb9Q,8FALz8g6oaTca0ufiUuF6w,4,0,0,0,"Went there due to having a gc, and was suprised at the great food!  Had the sauteed stirfry over spinach, and my gf had the abundant pile of nachos.  They have a pretty decent selection of other delectables, and the day time bartender was very pleasant.  I would recommend to someone who wants a friendly atmosphere with decent food in a sports bar setting.  They actually do have sports playing on the tvs.",2011-10-27 23:30:47
19626,ZddJtqDHdOUHnW65f1NqAQ,bgyDhaVEcmZwCiWK24ULNw,8FALz8g6oaTca0ufiUuF6w,4,1,5,1,"As far as gay bars go, this place is the tits!

Aesthetically speaking, a gay sports bar is a genius concept.  Finally, someone has combined the latent homoeroticism of professional athletics with actual homoeroticism.  It was a long time coming, but I hope it will inspire many more.

The general vibe of the place is wonderful.  It sports an all-around friendly atmosphere, whether you are gay or straight.  The staff is friendly, the customers are non-douchey, and the drinks are wet.  What more do you want?",2011-07-28 18:43:11
25242,TSxQdmKXrL9eQ6jxCc5l4g,84HvpQDxcHWmbMDfs8IEYw,8FALz8g6oaTca0ufiUuF6w,4,4,1,6,"A Gay Sports Bar?  Hell yeah!    I went on St. Patrick's day.  I was impressed by the bar and the friendly staff.  The beer selection is--ok but it's definitely not a beer snob place.  Weird that there's no Yuengling on draft.   
I haven't been upstairs to the lounge part yet nor have I had a chance to sample the delicious looking menu.  I will definitely be back tho.",2010-03-18 18:50:09
28557,VLMnIlr9Iz8SlM6ins9Dlw,-wBQ2jBxanWHra6E9gQUcQ,8FALz8g6oaTca0ufiUuF6w,5,0,0,0,Yum yum yum!  The new menu is great. I really like the HUGE pretzel. I wish it had a cheesy sauce with the mustard but all in all it's a-ok!,2017-01-28 19:16:34
31642,ydo3dp9Uh9DzSsngaRLA6g,lm56NZaqG90rCIq7mdZYgA,8FALz8g6oaTca0ufiUuF6w,4,1,1,2,"I can only speak on the atmosphere since I didn't have any drinks or food. I went for Thursday night karaoke and I must say I was pleasantly surprised. It's definitely a little divey and I wouldn't recommend for the uptight crowd, but the ppl were awesome and the atmosphere was live. I would definitely go back for karaoke.",2015-10-09 22:00:48
38161,VA_-VPjLluds5Vjdq9ZQNw,RkU0PMlUCNEzb9Em1qBG_A,8FALz8g6oaTca0ufiUuF6w,2,0,0,0,slim pickings for vegan and vegetarian fare.  I hate being told what to eat... especially if it is salad.  next time it will be a liquid dinner or nothing at all.,2010-05-27 03:07:58
44562,0dZ2K94kMGorcXhq6Zq0IA,OvJyxrgEHWXMVc4PfHtvkg,8FALz8g6oaTca0ufiUuF6w,1,4,1,1,"As a resident of the United States who has lived here for 21 years, and as an adult, I was refused service today because my passport wasn't stamped. I am undocumented, which explains my unstamped passport, but my passport is a legitimate form of identification, government issued. The hipster bouncer (I wish I had his name) white, pale and an ego full of unfounded power told me that because I was undocumented, I needed to leave because he wouldn't take my passport. I just want to say that it's illegal to a) go through a passport as if you were homeland security, not even TSA can do that and b) he targeted me for identification, my white friend was told he didn't need to provide ID. So beyond whatever he says his intention is/was, what it seems to me is that this bar needs to educate its staff about diversity issues. I'm not an underage college kid trying to sneak in and get a drink, I am an adult trying to exercise my age-right to drink. This was unacceptable. I come from Texas where they understand these issues, it saddens me that I had to feel discriminated against as I'm in Philly to enjoy my research conference. Horrible experience.",2015-03-19 05:06:04
46261,UNS1JAJDtqb61guOFf7Qew,GQAJPe7DHKg0CgiDaun2og,8FALz8g6oaTca0ufiUuF6w,5,3,0,0,"first time going there on Tuesday for the Songbird Philly singing competition - very diverse crowd, very gay-friendly. we went upstairs where the bartenders were super friendly to everyone. ordered some late night chicken tacos for $2 each - simple, but they tasted relish & hit the spot for a bar bite. $5 Bacardi & $4 corona specials, plus cocktail list that was $7-$10. Great night at a chill & fun place!",2016-03-31 14:43:20
69839,ZelSD2Y3BMPsIKqFK5JSPw,kmP-X4gizhxbf5njiYEohA,8FALz8g6oaTca0ufiUuF6w,3,0,0,0,"I was there a couple of times while visiting Philadelphia. I really liked the bar, the bartender was nice, and the music was great. I also enjoyed the TVs that were showing the baseball game, I really liked watching the Giants beat the Phillies the two days I visited. :)

The one thing I didn't like was that when I was there with a friend it took forever to get our check and that the drunk people sitting next to us decided to have a dance party downstairs spinning and swinging and jumping and bumping into my chair every 5 seconds and the server didn't even say anything about how they were bothering everybody else. 

Oh well.",2013-08-07 17:28:40
73648,coVzXMadp_0eI1CgNuyB4w,Jt3GylPuH64uA3zTdbMdCg,8FALz8g6oaTca0ufiUuF6w,5,2,0,2,"Last time I went to Tabu, I was turned off by the fact that all they really seemed to have was beer, at least downstairs in the sports bar portion.  However, my friend Howard Louis (http://www.howardlouis.com) had his CD release party there in the lounge portion.  I went, and it totally changed my opinion of Tabu.  They had a full bar, some great drink specials, and Howard's performance was stellar!  I can't wait to come back again!",2010-07-21 20:08:30
73845,RPApA-pMS-j9QRjbJRr6Ow,0oWnBfUjAv7ZmTWaW8Ufdg,8FALz8g6oaTca0ufiUuF6w,5,1,0,1,"For five-star bar food, great drink specials, and amazing service, Tabu is my go-to.  Last night was no exception when a friend and I split the Sriracha-garlic wings, which were $10 for 20 pieces!  Always a fine selection of drafts and of course every absolut flavor you can imagine.",2011-06-02 18:04:20
83218,t5eqcGWB5V7CfBWPvgJZYw,V-ucUDmYsS82HTHsf0lMig,8FALz8g6oaTca0ufiUuF6w,4,2,0,1,"Came here on a Thursday night for karaoke and had a blast. It was pretty empty so everyone that was there didn't really have to wait to sing. The other singers were also very supportive is nice, which makes karaoke even more fun. The drinks are priced decently and the staff was very nice. This is definitely a go to stop on a night out in the town",2014-11-15 02:41:24
83892,4aBqqgmNfl2MI6WytuLBiw,bBd8sOgkhbaEeZHjczV8ZQ,8FALz8g6oaTca0ufiUuF6w,4,3,2,1,"I'm not a fan of the bar scene, but if you find me in a bar, it is most likely divey or gay-friendly.  Tabu fits both of these criteria.

I met a friend here who had moved out of town. There was plenty of room at the second floor bar. It was dark, a cool respite from the boiling May heat wave, and half-full of very relaxed patrons. I ordered my favorite non-alcoholic drink of the moment, seltzer with a splash of pineapple juice, and spent the next hour and half catching up with my friend while listening to the somewhat overpowering sound system blast a mix of 80s and current pop. It was really nice to go to a bar where you didn't have to worry about ordering another drink every 5 minutes. Also, although it was described as a gay/straight sports bar, they were playing a Sex & the City marathon on their large screen TV which is way more fun than watching the Phillies, at least for me, a total non-sport fan.",2013-05-31 15:19:09
89682,mRu4AdNSeh3FCcGkPyKbDw,JoIIgGRrLmb6ImkIyrTaoA,8FALz8g6oaTca0ufiUuF6w,2,0,0,0,"NYE Bust!  We went to Tabu for the first time on New Years Eve... never again!  Although the service was friendly and prompt, we were lured in by the promise of an ""award-winning"" drag show and ""complementary Grey Goose cocktails.""  There was a $17/person cover charge, which was a pretty good deal for downtown Philly on NYE, especially if some drinks are included.  What they didn't mention until after we paid the cover was that 1) there was actually no seating available for the show, and the live video feed (SD, not HD) of the show was in TVs in another room which also had minimal seating (standing room only most of the time); and 2) the complimentary ""cocktails"" were actually 1oz. shots that came around every hour or so.  And I'm not sure what authority issued the award for the ""award-winning"" drag show, but it was pretty amateur in our opinions.  HUGE bait and switch y'all.  Not cool.  We left after an hour, $34 down and one shot each to show for it.  

NOW, all of that having been said, I think we would have had a totally different experience if it hadn't been NYE.  The bar staff was super nice, and the drinks were reasonably priced for what you get.  Moreover, there really aren't a lot of gay sports bars out there, so props to the management for putting together a decent, attractive venue.  Although we would never come here again on NYE, we would return on a normal evening to enjoy some happy-hour entertainment and late-night drinks.",2014-01-01 19:07:10
102394,J2RYOhw74z7zXXnJUIC4wQ,Cf8Jw9yX8RrG-l4PQoMkuw,8FALz8g6oaTca0ufiUuF6w,4,0,0,0,"I can't believe I haven't reviewed Tabu already!

Tabu is a gayborhood staple, being Philly's main (only?) gay sports bar. Now, you can do a lot more here than just watch a game, though that's certainly a popular option. The food is surprisingly good, and there are frequently drag shows and other events in the upstairs area. You'll likely see this place jam packed on the weekends, and for good reason!",2013-02-04 14:56:38
105380,ZWHKq2_Xum1LxE76lnHt8g,CBjXqIQs0AYjEl7arWhG2w,8FALz8g6oaTca0ufiUuF6w,2,0,0,1,"Overrated dump.   Prices are ridiculous for a Dive bar and the crowd is so cliquey you will feel like a shadow.      I go there a few times a month to see friends but hate every second there.   Plenty of more friendly, entertaining spots in town.",2015-12-23 06:04:14
112142,eeaBxUHNCX6ZKHA9UvuByg,itm7J1IWFo3YGBwcZUin9g,8FALz8g6oaTca0ufiUuF6w,4,1,0,0,"For a sports bar, I wish the screens were bigger, but it's a small cozy place to begin with. Bartenders and staff are super friendly which is always a plus in my book. Table area on the first floor is a bit crowded, but I heard they're renovating downstairs for more lounge space. I'll miss that pool table. Upstairs bar is cute and I've always enjoyed watching performances on the cushy box seats or shaking my booty on a dancing night. 

My favorite thing about this place however is the food. Everything I've had so far satisfies my craving for bar food and the affordable prices make it more delicious. Some of my favorites are the wings and the sliders. The traditional sliders come on a slab of wood with 3 perfect round indentations for the sliders to sit on. Each bite has a nice char grilled taste that oozes with cheddar and a kick of a pickle.

Thought these are the only kind of sliders I've ordered, there are others to choose from. It'd be nice if there was an assorted option on the menu to try all the sliders, but I guess that means I'll have to return for more.",2011-05-03 05:45:59
116140,NG21hjFwHBQzXvlQqYSXnw,z8XOkJ9UneWaP_KJ-3XWTg,8FALz8g6oaTca0ufiUuF6w,3,0,0,0,Friendly bar!  The food....not great... but it is standard bar stuff (no frills).,2016-06-25 12:16:15
130958,I4XY9qyIJkd10lKpmVAnJQ,FQ-zmWPEG_pjSQx6pt3Efw,8FALz8g6oaTca0ufiUuF6w,5,0,0,0,Nice little bar. Bartenders are very attentive. Food is large portioned and a great price.,2013-06-25 04:49:41
146699,vtOzoVXI6LStgizwtHUnvA,zbtt4rw8-AZr0UgqcZaIZQ,8FALz8g6oaTca0ufiUuF6w,5,1,0,0,"I have a great time every time I go to Tabu. Every bar tender is great, and there's always something going on. Sinful Sundays with The Goddess Isis is consistently one of the best shows in the city, and I've also enjoyed Camp Tabu, happy hours for various organizations, or just stopping in for a beer after a long day in Center City.

I also have my own variety show here every first Friday called ""Thank Goddess its OMG"" and there's nowhere I'd rather perform. Our show has doors at 9PM, show promptly at 19. Cover is $10, and the first drink is on us. Always hosted by The Notorious OMG and featuring The Goddess Isis; special guests change every month.",2012-05-14 03:20:30
152310,EhOQJ7lmYvAmK9rvs_1ByQ,-wBQ2jBxanWHra6E9gQUcQ,8FALz8g6oaTca0ufiUuF6w,4,0,0,0,Yum yum yum!  The new menu is great. I really like the HUGE pretzel. I wish it had a cheesy sauce with the mustard but all in all it's a-ok!,2016-12-26 22:29:49
159282,9o2uUtrk3rjSRiJbZLCZvA,iXIRZCsw-GiqUZSg0BHCCw,8FALz8g6oaTca0ufiUuF6w,5,1,0,0,"Just stopped in for a drink or two and was greeted by the most lovely of bartenders...Kenny. he was just incredibly welcoming, congenial and beyond accommodating! Just listening to the banter between fellow bar goers and Kenny  only showed how much he is loved in this bar.  He truly is THE best of the rest and if anyone wants to be treated like royalty...come when Kenny is slinging drinks. ...thanks Kenny for everything!!!",2016-06-26 17:38:28
